group1,group2,meandiff,p-adj,lower,upper,reject
empathic_dynamic,neutral_static,5.5533,0.0003,1.4827,9.624,True
empathic_dynamic,stable,13.3873,0.0,10.1054,16.6692,True
empathic_dynamic,stressed,11.0073,0.0,7.7254,14.2892,True
empathic_static,euphoric,7.78,0.0,4.4981,11.0619,True
empathic_static,high_adrenaline,7.768,0.0,4.4861,11.0499,True
empathic_static,high_cortisol,7.97,0.0,4.6881,11.2519,True
empathic_static,high_dopamine,7.71,0.0,4.4281,10.9919,True
empathic_static,high_oxytocin,7.362,0.0,4.0801,10.6439,True
empathic_static,high_serotonin,7.702,0.0,4.4201,10.9839,True
empathic_static,neutral_dynamic,-3.8533,0.0887,-7.924,0.2173,False
empathic_static,neutral_static,0.74,1.0,-3.3307,4.8107,False
empathic_static,stable,8.574,0.0,5.2921,11.8559,True
empathic_static,stressed,6.194,0.0,2.9121,9.4759,True
euphoric,high_adrenaline,-0.012,1.0,-2.2416,2.2176,False
euphoric,high_cortisol,0.19,1.0,-2.0396,2.4196,False
euphoric,high_dopamine,-0.07,1.0,-2.2996,2.1596,False
euphoric,high_oxytocin,-0.418,1.0,-2.6476,1.8116,False
euphoric,high_serotonin,-0.078,1.0,-2.3076,2.1516,False
euphoric,neutral_dynamic,-11.6333,0.0,-14.9152,-8.3514,True
euphoric,neutral_static,-7.04,0.0,-10.3219,-3.7581,True
euphoric,stable,0.794,0.999,-1.4356,3.0236,False
euphoric,stressed,-1.586,0.5439,-3.8156,0.6436,False
high_adrenaline,high_cortisol,0.202,1.0,-2.0276,2.4316,False
high_adrenaline,high_dopamine,-0.058,1.0,-2.2876,2.1716,False
high_adrenaline,high_oxytocin,-0.406,1.0,-2.6356,1.8236,False
high_adrenaline,high_serotonin,-0.066,1.0,-2.2956,2.1636,False
high_adrenaline,neutral_dynamic,-11.6213,0.0,-14.9032,-8.3394,True
high_adrenaline,neutral_static,-7.028,0.0,-10.3099,-3.7461,True
high_adrenaline,stable,0.806,0.9988,-1.4236,3.0356,False
high_adrenaline,stressed,-1.574,0.5585,-3.8036,0.6556,False
high_cortisol,high_dopamine,-0.26,1.0,-2.4896,1.9696,False
high_cortisol,high_oxytocin,-0.608,1.0,-2.8376,1.6216,False
high_cortisol,high_serotonin,-0.268,1.0,-2.4976,1.9616,False
high_cortisol,neutral_dynamic,-11.8233,0.0,-15.1052,-8.5414,True
high_cortisol,neutral_static,-7.23,0.0,-10.5119,-3.9481,True
