,distinct_2,sentiment_polarity,repetition_rate,length,perplexity
hormone_dopamine,9.344655016859056e-12,0.257518146382747,0.2848700360200741,0.384706021819665,3.1369724930833135e-129
hormone_cortisol,4.547481979446536e-05,0.07597498915416478,0.001968752617734503,0.07231878022621238,2.9660087658741582e-123
hormone_oxytocin,0.009607879790733522,0.07433972442260722,0.7802893721178483,0.557957892276677,6.691443166128648e-10
hormone_adrenaline,3.174575112290601e-27,0.5595568905669378,1.331373585762991e-10,0.8546787480599637,3.945361402816351e-43
hormone_serotonin,1.0598113627612154e-08,0.030027277135960716,0.3750578053159152,0.3915108520061435,5.071729166468804e-70
