metric,static_mean,static_std,dynamic_mean,dynamic_std,difference,t_statistic,p_value,cohens_d,significant
distinct_2,0.9755046629234875,0.04332062409424116,0.9965604122276732,0.011993180067867834,0.021055749304185745,-9.936790891596436,3.8087892067808744e-22,0.6624527261064289,Yes
repetition_rate,0.008837926795893174,0.02851444695650725,0.00069510715966358,0.0052340918248504975,-0.008142819636229594,5.958269162737838,3.657715471012664e-09,-0.3972179441825235,Yes
sentiment_polarity,0.11679630562431773,0.21446565066751794,0.09243726194433596,0.22419024042122576,-0.024359043679981762,1.6655237426345093,0.09615709529615336,-0.1110349161756339,No
