,df,sum_sq,mean_sq,F,PR(>F),metric
C(profile_name),6.0,0.2949315764086575,0.04915526273477625,42.34866287736166,3.913992164195444e-50,distinct_2
Residual,3493.0,4.05442158185256,0.0011607276214865617,,,distinct_2
C(profile_name),6.0,0.3253460896767313,0.054224348279455215,1.3977961086214652,0.21146312305830356,sentiment_polarity
Residual,3493.0,135.50305897398206,0.038792745197246514,,,sentiment_polarity
C(profile_name),6.0,113650.95900988099,18941.826501646832,96.45541368714188,1.6193590241445353e-112,perplexity
Residual,3493.0,685952.1663020189,196.3790914119722,,,perplexity
C(profile_name),6.0,0.02631756029302289,0.004386260048837148,11.37795817665583,1.2403424769920787e-12,repetition_rate
Residual,3493.0,1.346569051556429,0.00038550502477996824,,,repetition_rate
