,distinct_2,sentiment_polarity,repetition_rate,length,perplexity
hormone_dopamine,9.570143803908438e-18,0.22758577235193272,0.050643838562944216,0.5554101868487284,1.1814180679179481e-133
hormone_cortisol,2.059777632049567e-09,0.6003090279030209,0.06230997253102254,0.3367974600784643,2.8429860108565006e-117
hormone_oxytocin,0.01806111763214615,0.2943548293420565,0.30595435247886654,0.6654155969640114,1.719931859683228e-10
hormone_adrenaline,1.3925199301473282e-22,0.43339248669529595,1.0761806933468124e-07,0.245277888145957,1.0510549041726877e-32
hormone_serotonin,1.4874819271002838e-12,0.3644527720416589,0.040637385904141544,0.3701462763656117,1.424959670121347e-49
