,df,sum_sq,mean_sq,F,PR(>F),metric
C(profile_name),5.0,0.6428002979202901,0.12856005958405803,55.13081712894111,5.92897786157512e-55,distinct_2
Residual,2994.0,6.98173614032306,0.002331909198504696,,,distinct_2
C(profile_name),5.0,0.23325224981142234,0.04665044996228447,1.1139814084991946,0.35059892225135003,sentiment_polarity
Residual,2994.0,125.380411307987,0.0418772248857672,,,sentiment_polarity
C(profile_name),5.0,38171.452779543644,7634.2905559087285,28.45929182280165,2.7960919134473893e-28,perplexity
Residual,2994.0,803149.4974192436,268.25300515004795,,,perplexity
C(profile_name),5.0,0.22913283594468098,0.0458265671889362,37.47629658300061,2.1627123452587935e-37,repetition_rate
Residual,2994.0,3.661107277764249,0.0012228147220321472,,,repetition_rate
