hormone,metric,baseline_mean,baseline_std,hormone_mean,hormone_std,difference,percent_change,t_statistic,p_value,significance,cohens_d,effect_size,direction
dopamine,distinct_2,0.9628169274164563,0.05499029665077273,0.9815322725456598,0.02625012462811994,0.018715345129203476,1.943811393036337,-4.343604357262628,1.7809198603896348e-05,***,0.43436043572626276,pequeño,increase
dopamine,sentiment_polarity,0.1401426779503565,0.1885090259847403,0.1238698188413218,0.21472554031290658,-0.016272859109034712,-11.611637045211262,0.8054158180250948,0.4210606769977072,ns,-0.08054158180250948,trivial,decrease
dopamine,repetition_rate,0.013325450401196854,0.0433657275214908,0.004969819719618907,0.015392134920267416,-0.008355630681577946,-62.70430214371942,2.567923606053159,0.010595077707848975,*,-0.2567923606053159,pequeño,decrease
dopamine,length,58.17,10.206466567769423,57.54,11.671741418429962,-0.6300000000000026,-1.0830324909747335,0.574628224652153,0.5658674103266477,ns,-0.057462822465215294,trivial,decrease
dopamine,perplexity,16.517866089344025,4.909216115946815,21.692047641277313,10.662306399964958,5.174181551933287,31.3247578346167,-6.233836479474598,1.1617953770326076e-09,***,0.6233836479474599,mediano,increase
cortisol,distinct_2,0.9628169274164563,0.05499029665077273,0.9682278871446303,0.029503451704128877,0.0054109597281739585,0.5619925838542621,-1.2262239101452979,0.22083942029370512,ns,0.12262239101452979,trivial,increase
cortisol,sentiment_polarity,0.1401426779503565,0.1885090259847403,0.14157559643646697,0.20114747997998328,0.0014329184861104627,1.0224711751391342,-0.07350912040947169,0.9414379157076455,ns,0.007350912040947169,trivial,increase
cortisol,repetition_rate,0.013325450401196854,0.0433657275214908,0.0024819179319348463,0.008369185300457235,-0.010843532469262007,-81.37460380542237,3.47214919817984,0.0005729221804495188,***,-0.34721491981798397,pequeño,decrease
cortisol,length,58.17,10.206466567769423,58.095,9.002287537316423,-0.07500000000000284,-0.12893243940175836,0.07793640393066004,0.9379178074732353,ns,-0.007793640393066003,trivial,decrease
cortisol,perplexity,16.517866089344025,4.909216115946815,14.517792093753815,4.5317989175975475,-2.00007399559021,-12.108549523116025,4.233607794986917,2.8585360873832754e-05,***,-0.4233607794986917,pequeño,decrease
oxytocin,distinct_2,0.9628169274164563,0.05499029665077273,0.9631061669595263,0.05262852387321146,0.0002892395430700301,0.030040969870165416,-0.053739655535571626,0.9571695516214989,ns,0.005373965553557162,trivial,increase
oxytocin,sentiment_polarity,0.1401426779503565,0.1885090259847403,0.1636038022944868,0.19456583675377181,0.02346112434413028,16.740884851965678,-1.2247314906527202,0.22140078269074687,ns,0.12247314906527203,trivial,increase
oxytocin,repetition_rate,0.013325450401196854,0.0433657275214908,0.012816056080457112,0.03975887523946416,-0.0005093943207397419,-3.8227174722288524,0.12244641019390395,0.9026072883629838,ns,-0.012244641019390396,trivial,decrease
oxytocin,length,58.17,10.206466567769423,58.21,10.253858202657232,0.03999999999999915,0.06876396768093372,-0.0390999587221798,0.9688302989224187,ns,0.00390999587221798,trivial,increase
oxytocin,perplexity,16.517866089344025,4.909216115946815,16.681233096122742,5.684713606483009,0.16336700677871718,0.9890321540026784,-0.3075932309531593,0.7585527664949998,ns,0.030759323095315927,trivial,increase
adrenaline,distinct_2,0.9628169274164563,0.05499029665077273,0.9406588393715254,0.07718152362040723,-0.022158088044930913,-2.3013812298032716,3.3066395811604594,0.0010299916536858388,**,-0.33066395811604593,pequeño,decrease
adrenaline,sentiment_polarity,0.1401426779503565,0.1885090259847403,0.14149269937388848,0.18813642492550203,0.0013500214235319663,0.9633192709576962,-0.07168655613270965,0.9428873639989903,ns,0.007168655613270965,trivial,increase
adrenaline,repetition_rate,0.013325450401196854,0.0433657275214908,0.025072557825530015,0.06421014810314264,0.01174710742433316,88.15542492490962,-2.1440880469325534,0.032631033925622784,*,0.21440880469325535,pequeño,increase
adrenaline,length,58.17,10.206466567769423,57.65,11.251242254138276,-0.5200000000000031,-0.8939315798521629,0.48410080694556445,0.6285805950373968,ns,-0.04841008069455645,trivial,decrease
adrenaline,perplexity,16.517866089344025,4.909216115946815,12.092077803611755,9.273686552858209,-4.425788285732271,-26.793947001346787,5.964975842833519,5.407792940952872e-09,***,-0.5964975842833519,mediano,decrease
serotonin,distinct_2,0.9628169274164563,0.05499029665077273,0.9737410074745602,0.03332920134208303,0.010924080058103858,1.1345957623965581,-2.4025602002027404,0.016737890869209304,*,0.240256020020274,pequeño,increase
serotonin,sentiment_polarity,0.1401426779503565,0.1885090259847403,0.14602424248410717,0.18668170066388165,0.005881564533750661,4.196840405628697,-0.3135202636859186,0.7540496719575839,ns,0.03135202636859187,trivial,increase
serotonin,repetition_rate,0.013325450401196854,0.0433657275214908,0.006506422974974221,0.018329071690504732,-0.006819027426222634,-51.172960169587725,2.048328141301335,0.04118341022151377,*,-0.20483281413013343,pequeño,decrease
serotonin,length,58.17,10.206466567769423,57.79,10.900458705944443,-0.38000000000000256,-0.6532576929688887,0.3598769177838664,0.7191300619242167,ns,-0.035987691778386635,trivial,decrease
serotonin,perplexity,16.517866089344025,4.909216115946815,19.679490790367126,5.885268454870212,3.1616247010231007,19.140636471576205,-5.834050958942873,1.1216717502092792e-08,***,0.5834050958942872,mediano,increase
